A, kTc, Tc
112,0.71158,8.257543256132728e9
114,0.69344,8.047037291004073e9
116,0.68022,7.893625556770291e9
118,0.66638,7.733019021082277e9
120,0.66143,7.675576654633168e9
122,0.66133,7.674416202785711e9
124,0.66468,7.713291339675513e9
126,0.66876,7.760637775051748e9
128,0.67114,7.788256529021218e9
130,0.66195,7.6816110042399435e9
