T_mid(MeV)	C(MeV/MeV)
0.0275	1.4210854715202012e-12
0.0325	5.3290705182007465e-12
0.037500000000000006	6.359357485052899e-11
0.042499999999999996	2.444977553750506e-9
0.0475	4.1944048234654434e-8
0.052500000000000005	4.2154155721618757e-7
0.057499999999999996	2.8359700365854236e-6
0.0625	1.4010953464094188e-5
0.0675	5.43335694658253e-5
0.07250000000000001	0.00017370965608165566
0.0775	0.0004750714705181731
0.0825	0.001143218616306284
0.0875	0.002474319342837821
0.0925	0.004900473851066063
0.0975	0.00900448433753808
0.10250000000000001	0.015521913785221416
0.1075	0.025329876461199753
0.1125	0.039424106690333326
0.1175	0.05888729381666746
0.1225	0.08485233729444978
0.1275	0.11846416074376964
0.1325	0.1608432259644131
0.1375	0.21305312433064197
0.14250000000000002	0.27607378111227504
0.1475	0.35078102179077997
0.1525	0.43793259518949373
0.1575	0.5381602617905652
0.1625	0.6519672343447519
0.1675	0.7797300830876701
0.1725	0.9217041605399644
0.1775	1.0780316272221304
0.1825	1.2487512427409075
0.1875	1.4338092005733203
0.1925	1.6330704112430523
0.1975	1.8463297647549821
0.2025	2.0733230191314886
0.2075	2.313737064783792
0.2125	2.5672194002684257
0.2175	2.8333867250289275
0.2225	3.111832609156548
0.2275	3.4021342415861935
0.23249999999999998	3.703858287121182
0.2375	4.016565903532051
0.2425	4.3398169817237395
0.2475	4.6731736794743695
0.2525	5.016203321113006
0.2575	5.368480734988874
0.2625	5.729590097643106
0.2675	6.099126349428014
0.2725	6.47669624071518
0.2775	6.861919062902893
0.2825	7.2544271123175035
0.2875	7.653865929788132
0.2925	8.059894353624124
0.2975	8.472184418454624
0.3025	8.890421128267782
0.3075	9.314302127972942
0.3125	9.743537293916651
0.3175	10.177848260843794
0.3225	10.61696789987642
0.3275	11.0606397596129
0.3325	11.508617480374628
0.3375	11.960664189468762
0.3425	12.416551884110786
0.3475	12.87606080698217
0.3525	13.338978818153167
0.3575	13.805100766100496
0.3625	14.274227859855047
0.3675	14.746167042874335
0.3725	15.220730369318844
0.3775	15.69773438197187
0.3825	16.176999491288043
0.3875	16.658349353374277
0.3925	17.141610245606373
0.3975	17.626610424326458
0.4025	18.113179552757313
0.4075	18.60114790687729
0.4125	19.090345864933038
0.4175	19.580603132887813
0.4225	20.071748047953246
0.4275	20.563606829107766
0.4325	21.056002786706056
0.4375	21.54875548174891
0.4425	22.0416798254657
0.4475	22.534585106948747
0.4525	23.027273935716842
0.4575	23.519541082847418
0.4625	24.011172202489185
0.4675	24.50194241110058
0.4725	24.99161469861162
0.4775	25.479938140115955
0.4825	25.96664587044868
0.4875	26.451452752903368
0.4925	26.93405287862569
0.4975	27.41411614761142
0.5025	27.891285294249155
0.5075000000000001	28.36517121127604
0.5125	28.835348538670733
0.5175000000000001	29.30134974785827
0.5225	29.762658480161594
0.5275000000000001	30.21870149024239
0.5325	30.6688389940257
0.5375000000000001	31.11235301225414
0.5425	31.548433198729036
0.5475000000000001	31.976159490139516
0.5525	32.394480706925115
0.5575000000000001	32.80218795304834
0.5625	33.19788127285932
0.5674999999999999	33.579927480415044
0.5725	33.94640646827775
0.5774999999999999	34.295041196856396
0.5825	34.62310792352434
0.5874999999999999	34.92731574300156
0.5925	35.20364660088899
0.5974999999999999	35.44713739855749
0.6025	35.65157902482132
0.6074999999999999	35.809092757782295
0.6125	35.9095214524453
0.6174999999999999	35.93953335749124
0.6225	35.88126597540204
0.6275	35.71020642536983
0.6325000000000001	35.391748337673484
0.6375	34.87533104604627
0.6425000000000001	34.08386404602931
0.6475	32.89316476829859
0.6525000000000001	31.08778914189149
0.6575	28.251981935434564
0.6625000000000001	23.43812071200302
0.6675	13.73959402255379
0.6825000000000001	1.2049816578418404
0.6875	1.2506742643211322
0.6924999999999999	1.296221638690297
0.6975	1.341666196927348
0.7024999999999999	1.3870509737451173
0.7075	1.432419587790433
0.7124999999999999	1.4778162074442478
0.7175	1.5232855176002134
0.7224999999999999	1.5688726854392585
0.7275	1.6146233270440278
0.7324999999999999	1.660583470402342
0.7375	1.7067995201990966
0.7424999999999999	1.753318217456011
0.7475	1.8001865984828653
0.7525	1.8474519502902338
0.7575000000000001	1.8951617636169242
0.7625	1.9433636795540092
0.7675000000000001	1.9921054372410634
0.7725	2.0414348121832386
0.7775000000000001	2.091399553363969
0.7825	2.1420473147387025
0.7875000000000001	2.1934255821690822
0.7925	2.245581595710176
0.7975000000000001	2.2985622671590966
0.8025	2.3524140930163617
0.8075000000000001	2.40718306294738
0.8125	2.462914563961557
0.8174999999999999	2.5196532804855543
0.8225	2.5774430906132273
0.8274999999999999	2.636326958700861
0.8325	2.6963468245206434
0.8374999999999999	2.7575434883722467
0.8425	2.8199564971259834
0.8474999999999999	2.883624015120742
0.8525	2.9485827068199884
0.8574999999999999	3.0148676014960047
0.8625	3.0825119565072585
0.8674999999999999	3.151547110638117
0.8725	3.22200232541405
0.8775	3.293904610286799
0.8825000000000001	3.3672785264819507
0.8875	3.442145962566198
0.8925000000000001	3.518525873342068
0.8975	3.5964339713331097
0.9025000000000001	3.675882357975976
0.9075	3.7568790795809512
0.9125000000000001	3.8394275852098723
0.9175	3.923526073583613
0.9225000000000001	4.009166694075358
0.9275	4.096334573291923
0.9325000000000001	4.185006638894603
0.9375	4.275150197067837
0.9424999999999999	4.366721222884703
0.9475	4.4596623175216585
0.9524999999999999	4.553900283306684
0.9575	4.649343266734713
0.9624999999999999	4.745877420691609
0.9675	4.843363042235889
0.9724999999999999	4.941630152437422
0.9775	5.040473502241123
